lemma,upos
ένας,DET
σε,ADP
θέλω,VERB
θάλασσα,NOUN
καλά,ADV
ρε,PART
λέγω,VERB
έρχομαι,VERB
αποφασίζω,VERB
φτάνω,VERB
γνωρίζω,VERB
ο,DET
προσπαθώ,VERB
σκέφτομαι,VERB
βλέπω,VERB
γίνομαι,VERB
γνωστός,ADJ
διαφορετικός,ADJ
εγώ,PRON
ζητώ,VERB
κάνω,VERB
κάποιος,PRON
και,CCONJ
οποίος,PRON
πουλώ,VERB
άλλος,PRON
άνθρωπος,NOUN
ακούω,VERB
απαντώ,VERB
αρχαίος,ADJ
εκείνος,PRON
εκφράζω,VERB
μερικοί,PRON
μιλώ,VERB
μου,PRON
νιώνω,VERB
ολόκληρος,ADJ
πανεπιστήμιο,NOUN
πηγαίνω,VERB
πολύς,ADJ
προτείνω,VERB
προτιμώ,VERB
ρήμα,NOUN
σταματώ,VERB
συνεχίζω,VERB
τέτοιος,PRON
ταυτότητα,NOUN
φέρω,VERB
φεύγω,VERB
χρήσιμος,ADJ
ψάχνω,VERB
ώρα,NOUN
άγιος,ADJ
έκφραση,NOUN
έννοια,NOUN
ίδιος,ADJ
αγχώνω,VERB
ακολουθώ,VERB
ακόμα,ADV
αλλάζω,VERB
ανδρικός,ADJ
αντέχω,VERB
απλά,ADV
από,ADP
απόφαση,NOUN
βγάζω,VERB
βοηθώ,VERB
βρίσκω,VERB
γενικά,ADV
γιατρός,NOUN
βροχή,NOUN
νύχτα,NOUN
απόγευμα,NOUN
σήμερα,ADV
γρήγορα,ADV
άνθρωπος,NOUN
μεγάλος,ADJ
υπάρχω,VERB
δέντρο,NOUN
γιορτάζω,VERB
γνώρχω,VERB
δίνω,VERB
διάλογος,NOUN
δοκιμάζω,VERB
δουλειά,NOUN
δουλεύω,VERB
ελληνικός,ADJ
ελπίζω,VERB
εμπειρία,NOUN
εννοώ,VERB
επιλέγω,VERB
επόμενος,ADJ
ηλεκτρονικός,ADJ
ηλιόλουστος,ADJ
κάκτος,NOUN
κακός,ADJ
κατάλογος,NOUN
κατάστημα,NOUN
καταφέρνω,VERB
κλείνω,VERB
κοινός,ADJ
κτίριο,NOUN
κόσμος,NOUN
λάθος,NOUN
μέρος,NOUN
μαθαίνω,VERB
μην,PART
νιώθω,VERB
νωρίς,ADV
ξεκινώ,VERB
ξεχάζω,VERB
ουσία,NOUN
πάρω,VERB
πέφτω,VERB
παίζω,VERB
παίνω,VERB
παλιός,ADJ
παράδειγμα,NOUN
παραλία,NOUN
πας,ADJ
περίπτωση,NOUN
περίσταση,NOUN
πιστεύω,VERB
πλανήτης,NOUN
προσεκτικός,ADJ
πρόκειται,VERB
σημαντικός,ADJ
σπούω,VERB
στος,DET
συμβαίνω,VERB
συνάντηση,NOUN
συνέχεια,NOUN
συναντώ,VERB
σωστός,ADJ
σώμα,NOUN
τέλος,NOUN
ταινία,NOUN
τελευταίος,ADJ
τεράστιος,ADJ
τοπικός,ADJ
τουριστικός,ADJ
τρόπος,NOUN
φαίνομαι,VERB
φοβούμαι,VERB
φορά,NOUN
φυτό,NOUN
χαρούμενος,ADJ
χρειάζομαι,VERB
χρησιμοποιώ,VERB
χώρα,NOUN
όλος,ADJ
toppings,X
άγρια,ADJ
άδεια,NOUN
άλμπουμ,NOUN
άμεσος,ADJ
άν,ADV
άρθρο,NOUN
άρτος,NOUN
άσπρο,NOUN
έλληνας,NOUN
έλχομαι,VERB
έμπειρος,ADJ
έξι,NUM
έξω,ADV
έρθω,VERB
έσω,VERB
έχω,VERB
ήδη,ADV
ήρχομαι,VERB
ίσως,ADV
αίσθημα,NOUN
αγαύη,NOUN
αγιασμός,NOUN
αγχωθής,ADJ
αδελφώ,VERB
αεροπορικός,ADJ
αθάνατος,NOUN
αισθάνομαι,VERB
αισθάνω,VERB
αιόλος,NOUN
ακουστέμαι,VERB
ακρίβεια,NOUN
ακριβός,ADJ
ακριβώς,ADV
αλήθεια,NOUN
αλίκη,NOUN
αληθώς,ADV
αλλά,CCONJ
αλλεργικός,ADJ
αλλιώς,ADV
αμέσως,ADV
αν,SCONJ
ανάσταση,NOUN
ανέβω,VERB
αναβάζω,VERB
ανοιχτός,ADJ
αντί,ADP
αντίθετα,ADV
αντίθετος,ADJ
αντίουκρανικός,ADJ
αντηλιακό,NOUN
ανώμαλος,ADJ
απάντηση,NOUN
απέναντι,ADV
απασχολημένος,VERB
απλός,ADJ
απολαμβάνω,VERB
αποτέλεσμα,NOUN
αράχνη,NOUN
αργά,ADV
αργώ,PROPN
αρετός,ADJ
αριθμός,NOUN
αρκετά,ADV
αρκετός,ADJ
αρμονία,NOUN
αρχή,NOUN
αρχικά,ADV
ας,AUX
αστείος,ADJ
αστυνομία,NOUN
ασχολία,NOUN
ατάκα,NOUN
αυγού,ADJ
αυγό,NOUN
αυτοκίνητό,NOUN
αφηγώ,VERB
αφού,SCONJ
αχίλλειος,NOUN
αχλάδι,NOUN
βέβαια,ADV
βαλένσιο,NOUN
βασικά,ADV
βασικός,ADJ
βγάλω,VERB
βγίζω,VERB
βενιζέλος,PROPN
βιβλιοπωλείο,NOUN
βοήθειά,NOUN
βούτυρο,NOUN
βράδυ,NOUN
βράχος,NOUN
βόλ,NOUN
γένος,NOUN
γίγαντος,ADJ
γαλλία,PROPN
γειτονιά,NOUN
γενικώς,ADV
γεννώ,VERB
για,ADP
γιορτής,NOUN
γιορτώζω,VERB
γιόγκα,NOUN
γιώργος,NOUN
γκαράζ,NOUN
γκλίτερ,NOUN
γλώσσα,NOUN
γνωριμία,NOUN
γράνω,VERB
γράψιμος,ADJ
γραφείο,NOUN
γραφτώ,VERB
γρηγόρος,ADV
γύρω,ADV
δέσποινα,NOUN
δίκιο,NOUN
δείπνο,NOUN
δείχνω,VERB
δεκέμβριος,PROPN
δεξιά,ADV
δηλαδή,ADV
διάβασμα,NOUN
διαβάζω,VERB
διαδίκτυο,NOUN
διακοπή,NOUN
διαμέρισμα,NOUN
διαφορετικά,ADV
διηγώ,VERB
δικαιολογία,NOUN
δικηγόρος,NOUN
δουλώ,VERB
δρόμος,NOUN
δυνατά,ADV
δυνατός,ADJ
δύο,NUM
δύσκολα,ADV
δύσκολος,ADJ
δώρος,NOUN
είδος,NOUN
είμαι,AUX
είτε,CCONJ
εαυτός,NOUN
εβδομάδα,NOUN
εγγραφή,NOUN
εγώ,AUX
εγώνος,PRON
ειδικά,ADV
εικονογράφηση,NOUN
εισιτήριο,NOUN
εκτός,ADV
ελεύθερος,ADJ
ενδιαφέρον,NOUN
ενεργοποιώ,VERB
ενθουσιάζομαι,VERB
ενθουσιασμένος,ADJ
ενικό,NOUN
εννοείται,VERB
εντελώς,ADV
ενώ,SCONJ
εξαιτίας,ADP
εξοικονομώ,VERB
εξωτερικός,ADJ
επίσης,ADV
επαναλαμβάνω,VERB
επειδή,SCONJ
επεισόδιο,NOUN
επικίνδυνος,ADJ
επιστήμα,NOUN
επιστρέφω,VERB
επιτάφιος,ADJ
εποχή,NOUN
εργασία,NOUN
ερωτεύτω,VERB
ερωτεύω,VERB
ερώτηση,NOUN
εστιατόριο,NOUN
ευκαιρία,NOUN
ευτυχισμένος,VERB
εύκολα,ADV
εύκολος,ADJ
εύχομαι,VERB
ζαχαροπλαστείο,NOUN
ζησώ,VERB
ζω,VERB
ζωή,NOUN
ζωντανός,ADJ
ημερομηνία,NOUN
θέα,NOUN
θέμα,NOUN
θέση,NOUN
θεατρικός,ADJ
θερμοκρασία,NOUN
θεός,NOUN
θησαυρός,NOUN
θυμάζω,VERB
θυμάμαι,VERB
θυμίζω,VERB
θύμω,VERB
ιαπωνικός,ADJ
ιδέα,NOUN
ιωάννιδος,NOUN
κάθε,PRON
κάκτο,NOUN
κάπου,ADV
κάτασπρα,ADV
κάτι,PRON
κάτω,ADV
κέγω,PRON
κίνηση,NOUN
καθάρισμα,NOUN
καθαρά,ADV
καθαρός,ADJ
καθημερινά,ADV
καθημερινός,ADJ
καθημερινότητα,NOUN
καθιρίζω,VERB
καθόλου,ADV
καινούρια,ADV
καιρός,NOUN
καλοκαιρινά,ADV
καλωσορίζω,VERB
καλώ,VERB
κανάλι,NOUN
κανένας,PRON
κανονικά,ADV
κανονικός,ADJ
κανόνας,NOUN
καρέκλα,NOUN
καραβάκιο,NOUN
καρδιός,NOUN
κατά,ADP
κατάσταση,NOUN
καταβάλλω,VERB
καταβαίνω,VERB
καταλαβαίνω,VERB
καφέ,NOUN
κείμενο,NOUN
κενταύρα,NOUN
κεφαλαίο,NOUN
κινητό,NOUN
κλίμα,NOUN
κλαίνω,VERB
κλασικός,ADJ
κλασσικός,ADJ
κοιμώ,VERB
κοκα,NOUN
κολεξιόν,NOUN
κομμάτι,NOUN
κομμάτιο,NOUN
κομπιούτερ,NOUN
κομπλιμένος,ADJ
κονσίλερ,NOUN
κοντά,ADV
κοντοσούβλι,NOUN
κοσμοπολίτικος,ADJ
κοστίζω,VERB
κουμ,NOUN
κουράζω,VERB
κουρασμένος,VERB
κουσκουσάκιος,ADJ
κρέμα,NOUN
κρεβάτι,NOUN
κρητικός,ADJ
κυρίως,ADV
κυριάκος,PROPN
κυριολεκτικά,ADV
κωνστάντινος,PROPN
κωνσταντινούπολη,PROPN
κόβω,VERB
κόγω,VERB
κόρη,NOUN
κόσμημα,NOUN
κώμα,NOUN
κώστας,PROPN
λέξη,NOUN
λίζα,NOUN
λίστα,NOUN
λαχανικά,ADV
λείπω,VERB
λεξιλόγιό,NOUN
λεξούλα,NOUN
λεπτό,ADV
λεπτό,NOUN
λεωφορείο,NOUN
λιώ,VERB
λογαριασμός,NOUN
λοιπόν,ADV
λοιπός,ADJ
λόγος,NOUN
λύκειο,NOUN
μάγειρα,NOUN
μάλιστα,ADV
μάλλον,ADV
μάρτης,NOUN
μέλι,NOUN
μέση,NOUN
μέχρι,ADP
μήπως,ADV
μαγαζί,NOUN
μαγαζία,NOUN
μαγαζιάς,NOUN
μαγείρεψα,NOUN
μαγειρεύω,VERB
μαζί,ADV
μακριά,ADV
μανικιούρ,NOUN
μαραθώνιο,NOUN
μαργαρίτα,NOUN
μαρμελάδα,NOUN
με,ADP
μεγάζομαι,VERB
μεγαλώνω,VERB
μετά,ADV
μετακομίζω,VERB
μεταφορικά,ADV
μεταφρώ,VERB
μηχανή,NOUN
μηχανικός,ADJ
μικρής,ADJ
μισός,NOUN
μιχάλη,NOUN
μοιάζω,VERB
μοιράζομαι,VERB
μοιραστώ,VERB
μοναδικός,ADJ
μοντέλο,NOUN
μονόλογο,NOUN
μπαλκόνι,NOUN
μπαταρία,NOUN
μπλούζα,NOUN
μπορώ,VERB
μπουκάλι,NOUN
μπροστά,ADV
μυαλός,NOUN
μυθολογία,NOUN
μυστικά,ADV
μόδος,NOUN
μόλις,ADV
μόνος,ADJ
μύκονο,ADV
νέος,ADJ
νίκη,NOUN
ναι,ADV
νερό,NOUN
νευρικός,ADJ
νησάκι,NOUN
νησί,NOUN
νοήμα,NOUN
νοιάζω,VERB
νομίζω,VERB
νομικά,ADV
νοσοκομείο,NOUN
ξέχω,VERB
ξανά,ADV
ξαναδίνω,VERB
ξανακόσσω,VERB
ξαναπροσπώνω,VERB
ξαφνικά,ADV
ξεχάσμενος,ADJ
ξεχνώ,VERB
ξημερώνω,VERB
ξυπνω,VERB
οδήγηση,NOUN
οθόνη,NOUN
οικογενειακός,ADJ
ομάδα,NOUN
ομορφιά,NOUN
ονομάζω,VERB
οπότε,CCONJ
ορίζω,VERB
οργανισμός,NOUN
οτιδήποτε,PRON
ουζάκι,NOUN
ούτε,CCONJ
πάλι,ADV
πάντα,ADV
πάνω,ADV
πάρα,ADV
πάρκα,NOUN
πάρκο,NOUN
πένθιμος,ADJ
πέρα,ADV
πέτρα,NOUN
πέτρο,NOUN
πίνω,VERB
πίσω,ADV
παίθω,VERB
παίρνω,VERB
πακέτα,NOUN
πακέτο,NOUN
πακατάρω,VERB
παλιός,ADV
πανεύκολος,ADJ
παντρέπω,VERB
παρά,ADP
παρέας,NOUN
παραγγέλλω,VERB
παραγγείλη,NOUN
παραγγελία,NOUN
παραδείγμα,NOUN
παραδοσιακά,ADV
παρακαλώ,VERB
παραπάνω,ADV
παρόμοιος,ADV
πατέρα,NOUN
παύση,NOUN
πεινασμένος,ADJ
πελάτης,NOUN
πεντάκόσιο,NOUN
περίεργος,ADJ
περίπου,ADV
περασμένος,ADJ
περιβάλλον,NOUN
περιγράφω,VERB
περιγραφή,NOUN
περνώ,VERB
περπάτημα,NOUN
πηραίνω,VERB
πια,ADV
πιθανώς,ADV
πιλάτης,NOUN
πιο,ADV
πισίνα,NOUN
πλάνας,NOUN
πλάνος,NOUN
πλάτος,NOUN
πλένω,VERB
πληθυντικό,NOUN
πληκτρολόγιο,NOUN
πληρώνω,VERB
πολυκατάστημα,NOUN
πολύ,ADV
πονίκαμαι,VERB
ποτάμιο,NOUN
ποτήριο,NOUN
ποτίζω,VERB
ποτό,NOUN
που,ADV
πουθενά,ADV
πουκάμισο,NOUN
πού,ADV
πράγμα,NOUN
πράξη,NOUN
πραγματικά,ADV
πριν,ADV
προέρχομαι,VERB
προετοιμάζομαι,VERB
προετοιμασμένος,VERB
προς,ADP
προσέχω,VERB
προσεκτικά,ADV
προσθέτω,VERB
προσωπικά,ADV
προσωπικός,ADJ
προτού,ADV
προφέρω,VERB
προϊόν,NOUN
πρωί,NOUN
πρωινός,ADJ
πρόβλημα,NOUN
πρόσωπο,NOUN
πρόφερη,NOUN
πρώτα,ADJ
πτυχίο,NOUN
πως,SCONJ
πόζας,NOUN
πύργο,NOUN
ραντέβος,NOUN
ρομαντικός,ADJ
ρχεται,VERB
ρωσία,PROPN
ρόδα,NOUN
ρόλος,NOUN
σέγω,VERB
σέρβιρη,NOUN
σίγουρα,ADV
σίγουρος,ADJ
σίγουρος,NOUN
σαν,ADV
σαντορίνη,NOUN
σεζόν,NOUN
σειρά,NOUN
σεις,PRON
σημαίνω,VERB
σημαντικά,ADV
σημασία,NOUN
σημειώνω,VERB
σημερινός,ADJ
σιγά,ADV
σιγουρεύτω,VERB
σκέψη,NOUN
σκωτία,PROPN
σκωτσέζα,NOUN
σκόπελος,PROPN
σοβαρά,ADV
σοβαρός,ADJ
σου,PRON
σούβλα,NOUN
σούσι,NOUN
σπένω,VERB
σπιτάκιο,NOUN
σπουδάζω,VERB
σπουδή,NOUN
στάση,NOUN
στέκιομαι,VERB
σταμάτω,VERB
στολή,NOUN
στος,ADJ
στου,ADP
στυλ,NOUN
συγκεκριμένα,ADV
συγκεκριμένος,ADJ
συλλογή,NOUN
συμβολικός,ADJ
συμφωνώ,VERB
συνάδελφος,NOUN
συνάνω,VERB
συνέντευξη,NOUN
συνήθεια,NOUN
συνήθως,ADV
συνηθίζω,VERB
σχέδιο,NOUN
σχέση,NOUN
σχετίζω,VERB
σχετικά,ADV
σχηματίζω,VERB
σχόλιο,NOUN
σωστά,ADV
σόδος,NOUN
σύγχρονος,ADJ
σύννεφος,NOUN
σύντομα,ADV
σύστημα,NOUN
τέλοσπος,ADJ
τέταρτος,ADJ
τέχνος,NOUN
τίποτε,PRON
τίτλος,NOUN
ταλάντουχος,NOUN
ταξιδιώτρια,NOUN
ταχυδρομείο,NOUN
ταχύτητα,NOUN
τελειώνω,VERB
τελικά,ADV
τελώ,VERB
τετρακόσια,ADV
τεχνικός,ADJ
τζελ,NOUN
τζιν,NOUN
τηλεφώνημα,NOUN
τηλεόραση,NOUN
τι,PRON
τιμή,NOUN
τοπικά,ADV
τουλάχιστο,ADV
τουρίστας,NOUN
τρένος,NOUN
τραγουδίστρια,NOUN
τραπέζι,NOUN
τραπεζάκι,NOUN
τραπεζιό,NOUN
τριακόσια,ADV
τρομερός,ADJ
τρώω,VERB
τσάντα,NOUN
τσίπουρο,NOUN
τόσο,ADV
τότε,ADV
υγεία,NOUN
υγιής,ADJ
υγρασία,NOUN
υλικό,NOUN
υπέροχος,ADJ
υπέρχος,ADJ
υπογραφή,NOUN
υποθέτω,VERB
υποκατηγορία,NOUN
υπότιτλος,NOUN
φάνω,VERB
φέγω,VERB
φακή,NOUN
φανταζόμει,VERB
φανταστικός,ADJ
φαρμακοποιός,NOUN
φευύγομαι,VERB
φιλάκω,VERB
φοβερός,ADJ
φοβοίμαι,VERB
φοβώ,VERB
φοιτήτριος,ADJ
φορώ,VERB
φούρνο,NOUN
φράση,NOUN
φρέσκος,NOUN
φρειδερίκος,NOUN
φροντίζω,VERB
φτιάχνω,VERB
φυσικά,ADV
φυσικός,ADJ
φυσιολογικός,ADJ
φωνή,NOUN
φωτιά,NOUN
φωτισμός,NOUN
φωτογραφία,NOUN
φόρεση,NOUN
φύλλος,NOUN
χάρτης,NOUN
χαίρω,VERB
χαλί,NOUN
χαρά,NOUN
χαρακτηρίζω,VERB
χαριτώνω,VERB
χειμώνας,NOUN
χημικός,ADJ
χθες,ADV
χιλιάδα,NOUN
χοιρινό,NOUN
χοιρινός,NOUN
χορό,NOUN
χρήμα,NOUN
χριστώ,VERB
χρονόμετρο,NOUN
χρωματιστής,NOUN
χρόνος,NOUN
χτυπάνω,VERB
χωριάτικος,ADJ
χωριό,NOUN
χόμπι,NOUN
ψάνω,VERB
ψάχω,VERB
ψηλώνω,VERB
ψυχή,NOUN
ως,ADV
ό,ADP
όμηρος,NOUN
όμως,CCONJ
όποτε,ADV
όπως,ADV
όροφος,NOUN
όση,ADV
όσο,ADV
όσος,PRON
όταν,SCONJ
ότι,SCONJ
ώστε,SCONJ
καλός,ADJ