term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
ρόδες,"...ότι τα αυτοκίνητα έχουν ρόδες .Μία , δυο , τρεις ρόδες...",en,wheels,,
ρόλο,"...έχει τον δικό της ρόλο,",en,"role, part (ρόλος)",,
ρομαντικό,...και για ένα δείπνο ρομαντικό,en,romantic,,
ρχεται,Γ: Ακούω κάποιον να 'ρχεται απ' το χολ.,en,'s coming,,
ρωσία,"...την πρώην Σοβιετική Ένωση, Ρωσία, Ουκρανία που ζουν στην...",en,Russia,,
σαν,Φαίνεται σαν να ήταν χθες.,en,"as if, like, while, if",,
σαντορίνη,...γνωστό παράδειγμα είναι η Σαντορίνη,en,Santorini,,
σεζόν,"...στη μόδα αυτή τη σεζόν,",en,season,,
σειρές,Αγαπημένες μου σειρές είναι δύο:,en,"rows,series,sets,lines",,
σεις,Ρε σεις αυτό είναι πολύ όμορφο!,en,tions,,
σένα,Νατάσα Θεοδωρίδου - Παραδόθηκα Σε Σένα,en,you (formal or plural),,
σερβίρεις,...κομμάτια και να το σερβίρεις με σόγια σως ή...,en,serve,,
σημαίνει,Αυτό σημαίνει ότι μαθαίνετε,en,means,,
σημαντικά,για τα δέκα πιο σημαντικά αντικείμενα,en,"important, significant, considerable",,
σημαντική,Έχει μια σημαντική παρουσίαση πωλήσεων να κάνει...,en,important,,
σημαντικό,Αυτό είναι σημαντικό.,en,important,,
σημασία,Δείτε τη σημασία των νέων λέξεων και...,en,"meaning, sense, importance, significance",,
σημειώνετε,για να σημειώνετε.,en,you note,,
σημερινό,πάμε να ξεκινήσουμε το σημερινό βίντεο.,en,"current, today's, modern day's",,
σιγά,Η μέρα σιγά σιγά μεγαλώνει,en,"slowly, quietly, gradually",,
σίγουρα,Σίγουρα δεν είναι ένας καλός...,en,certainly,,
σιγουρευτώ,...να κάνω είναι να σιγουρευτώ ότι τα φρύδια μου...,en,I make sure (σιγουρεύομαι),,
σίγουρη,Γ: Είμαι σίγουρη ότι ξέρετε αλλά απλώς...,en,"certain, sure; confident",,
σίγουρος,Γ: Είστε σίγουρος;,en,"sure, certain, confident",,
σκεφτεί,Γ: Το έχω σκεφτεί.,en,thought,,
σκέφτεστε,...γράψιμο σας βοηθά να σκέφτεστε στη νέα γλώσσα.,en,think,,
σκέφτεται,Σκέφτεται ότι είναι πολύ όμορφος.,en,"thinks, contemplates",,
σκέφτηκε,Αλλά ο Ανδρέας σκέφτηκε ότι ήταν αρκετά καλή.,en,thought,,
σκέφτομαι,Σκέφτομαι ότι είναι πολύ όμορφος.,en,"I think, contemplate, ponder",,
σκέψης,"...υιοθέτησα αυτό τον τρόπο σκέψης, ότι η Ελλάδα είναι...",en,thinking,,
σκόπελος,"...από τα νησιά, Σκιάθος, Σκόπελος, Αλόννησος.",en,"rapids, rocks underwater",,
σκωτία,...στην Ελλάδα ή στη Σκωτία που μένω τώρα.,en,Scotland,,
σκωτσέζα,"...μου λένε ''Α, ντύθηκες Σκωτσέζα!'' και τους λέω ''Όχι...",en,Scottish (f),,
σοβαρά,Α: Μιλάτε σοβαρά; Μάλλον αστειεύεστε.,en,seriously,,
σοβαρή,"Είναι τέλειο, νιώθω σαν Σοβαρή Λαίδη",en,"(adj) serious, solemn,earnest; severe, grave; reliable, dependable, responsible [ σοβαρός ]",,
σόδα,"...κουταλάκι του γλυκού μαγειρική σόδα,",en,soda,,
σου,Μαζί σου όλα τα μπορώ,en,you/your (informal),,
σούβλα,"...αρνάκι ή κατσικάκι στη σούβλα ,",en,"rotisserie, skewer",,
σούσι,"...κινέζικο, το ιταλικό, το σούσι, οι μπριζόλες, όλα τα...",en,sushi,,
σπένσερ,Είμαι η μαμά του Σπένσερ που έκανε το Podcast...,en,Spencer,,
σπιτάκια,"...πολύ ωραία παραδοσιακά, χωριάτικα σπιτάκια!",en,houses,,
σπούδαζα,"Εγώ επειδή σπούδαζα,",en,I was studying,,
σπουδάζει,Ο αδερφός μου θα σπουδάζει για να γίνει γιατρός.,en,"studying, training",,
σπούδασα,Εδώ σπούδασα ελληνική γλώσσα.,en,I studied,,
σπουδές,...να πας μετά τις σπουδές σου.,en,studies,,
σταμάτησε,Σταμάτησε να μου γράφει.,en,stopped,,
σταματήσει,Έπρεπε να σταματήσει για να κοιτάξει τον...,en,stop,,
σταματήσεις,Μην σταματήσεις όμως εκει .,en,stop,,
σταματήσω,...ημέρες όταν έπρεπε να σταματήσω για να κοιτάξω τον...,en,stop,,
στάση,Βεβαίως στάση για μία ινσταγκραμική φωτογραφία...,en,"stop, station / attitude, point of view, posture",,
στην,Πηγαίνει στην δουλειά του με το...,en,to,,
στην ουσία,Αυτά τα τρία αγάλματα στην ουσία κρατούσαν το συντριβάνι και...,en,(phrase) essentially,,
στην ώρα μου,δεν είμαι ποτέ στην ώρα μου.,en,on time,,
στην ώρα του,Ο Παύλος έρχεται στην ώρα του.,en,on time,,
στη συνέχεια,Στη συνέχεια θα πάρω ψητό κοτόπουλο.,en,"Subsequently, next, then",,
στις,Ο Μιχάλης σηκώνεται στις έξι κάθε πρωί.,it,"at, to, in, on",,
στολές,"...στην αεροπορία έχουμε δύο στολές,",en,uniforms,,
στυλ,...το πληκτρολόγιο και το στυλ.,en,style,,
συγκεκριμένα,,en,Specifically,,
συγκεκριμένο,"...ίδια μέρα, κάνω κάτι συγκεκριμένο,",en,"specific, concreteness",,
σύγχρονες,...αυτές οι λέξεις είναι σύγχρονες,en,"modern, contemporary",,
συλλογή,...και πιο αγαπημένη μου συλλογή,en,collection,,
συμβαίνει,Ενδιαφέρομαι να μάθω τι συμβαίνει.,en,happens,,
συμβεί,...θα έπρεπε να έχει συμβεί άν πήγαινε δυτικά?,en,happen,,
συμβολική,μια κίνηση συμβολική.,en,symbolic,,
συμφωνείς,...μία πολύ καλοκαιρινή φωτογραφία . Συμφωνείς;,en,agree,,
συναδέλφους,"Δε μιλούσα με τους συναδέλφους μου,",en,"colleagues,co-workers (συνάδελφος)",,
συναντάμε,...ελληνικά λέμε «γεια» όταν συναντάμε κάποιον αλλά και όταν...,en,"we meet, encounter",,
συναντήσει,Ο Μιχάλης μπορεί να συναντήσει πολλούς φιλικούς ανθρώπους.,en,meet,,
συναντήσεων,"Κατά την διάρκεια των συναντήσεων, αν προσπαθεί να πει...",en,meetings,,
συνάντηση,Και έχει μια συνάντηση στην δουλειά σήμερα.,en,meeting,,
συναντήσουμε,Πάντα θα θέλουμε να συναντήσουμε ένα διάσημο πρόσωπο μια...,en,meet,,
συνέντευξη,"...πολύ για αυτή τη συνέντευξη,",en,interview,,
συνέχεια,Στη συνέχεια θα πάρω ψητό κοτόπουλο.,en,"constantly, continually; consecutively",,
συνεχίζει,συνεχίζω: Η Σοφία συνεχίζει να πηγαίνει γυμναστήριο κάθε...,en,continues,,
συνεχίζουμε,συνεχίζουμε τον δρόμο μας προς...,en,continue,,
συνεχίσω,...the Greek και θα συνεχίσω τη δουλειά του στο...,en,continue,,
συνήθεια,...και να διατηρήσουμε μία συνήθεια.,en,"habit, custom",,
συνηθίσω,...μπορούσα με τίποτα να συνηθίσω τον καιρό και την...,en,I was used to,,
συνήθως,Γ: Συνήθως μαγειρεύω στο σπίτι.,en,usually,,
σύννεφα,...φράση πέφτω από τα σύννεφα.,en,clouds,,
σύντομα,Ο Φρειδερίκος επίσης αποκοιμιέται σύντομα.,en,soon,,
σύστημα,"...το LingQ, το διαδικτυακό σύστημα εκμάθησης γλωσσών.",en,system,,
σχέδια,"...το ρήμα είμαι, για σχέδια ή όταν πρόκειται να...",en,"plans, projects, drawings, sketches",,
σχέση,...χρόνο; Πρέπει να έχουν σχέση.,en,relationship,,
σχετίζεται,και σχετίζεται με τη γονιμότητα της...,en,related,,
σχετικά,...για να μάθετε περισσότερα σχετικά με το να προσφέρετε...,en,about,en,"about, regarding"
σχηματίζεται,Σχηματίζεται με το ‘'να'' και...,en,formed,,
σχόλια,...να το γράψετε στα σχόλια.,en,commentary,,
σώμα,Εσύ Γιάννη σε ποιο σώμα του στρατού ήσουν;,en,"body, corps, force, brigade, corporation, incorporation",,
σώματος,...ότι χρησιμοποιούμε μέρη του σώματος,en,body,,
σωστά,Ναι ναι πολύ σωστά.,en,"correctly, right",,
σωστή,...ανθρώπους να επιλέξουν τη σωστή καριέρα για τον εαυτό...,en,"right, correct",,
σωστό,...νομίζω ότι αυτό είναι σωστό.,en,"correct, right",,
ταινία,...πάει να δει μια ταινία.,en,movie,,
ταινίες,...στην Κλαίρη να παρακολουθεί ταινίες?,en,Movies,,
ταλαντούχους,με πολύ ταλαντούχους ηθοποιούς,en,talented,,
ταξιδιώτρια,...είμαι πάρα πολύ έμπειρη ταξιδιώτρια και backpacker και ξέρω...,en,traveler,,
ταυτότητα,Τα μεζεδοπωλεία αλλάζουν ταυτότητα ανάλογα με την εποχή.,en,identity,,
ταυτότητά,και την ταυτότητά σου,en,identity,,
ταυτότητας,...μέρος της Χριστιανικής μας ταυτότητας.,en,identity,,
ταχυδρομείο,...βρίσκομαι μπροστά από ένα ταχυδρομείο.,en,post office,,
ταχύτητα,...μπορείτε να αλλάξετε την ταχύτητα από τις ρυθμίσεις,en,speed,,
τελειώσαμε,Και κάπως έτσι τελειώσαμε με τα ρούχα.,en,"we finished, stopped",,
τελείωσε,ο οποίος μόλις τελείωσε τη στρατιωτική του θητεία,en,finished,,
τελευταία,...κάνουν οι γονείς σου τελευταία;,en,"lately, recently",,
τελευταίο,το τελευταίο μου βίντεο,en,last,,
τελικά,"Τελικά, φεύγει από το κατάστημα.",en,Finally,,
τέλος,Και τέλος,en,at last,,
τέλοσπαντων,γιατί τέλοσπαντων οι άνθρωποι λένε ότι...,en,Anyway,,
τέλος πάντων,Γ: Τέλος πάντων.,en,"anyway, whatever",,
τεράστιο,...και τώρα έχει γίνει τεράστιο.,en,"immense, prodigious, vast, huge",,
τεράστιος,...δεν είναι και πολύ τεράστιος γιατί υπάρχουν κι άλλοι...,en,"huge,enormous",,
τέταρτο,"Φυσικά εμείς, για κάνα τέταρτο",en,fourth  quarter,,
τέτοια,"Μετά έχουμε το ""τέτοιος, τέτοια, τέτοιο""",en,such,,
τέτοιες,"Τέτοιοι, τέτοιες, τέτοια",en,such,,
τέτοιο,"...έχουμε το ""τέτοιος, τέτοια, τέτοιο""",en,such,,
τετρακόσια,Τα μαύρα παπούτσια κοστίζουν τετρακόσια πενήντα ευρώ.,en,four hundred,,
τέχνη,Τη δημοκρατία; Την τέχνη;,en,art,,
τεχνικές,"τις δικές σας τεχνικές,",en,techniques,,
τζελ,"έκανα τζελ στα φρύδια, έβαζα λίγο...",en,gel,,
τζιν,...το φοράω με ένα τζιν σορτς αλλά δεν ξέρω...,en,"jeans, gin",,
τηλεόραση,Ξεκουράζονται και βλέπουν τηλεόραση μαζί.,en,"television, tv",,
τηλεφώνημα,έλαβα ένα τηλεφώνημα,en,phone call,,
τιμές,"με χαμηλότερες τιμές και ποικιλία στα πιάτα,",en,prices,,
τίποτε,"...δυτικά, αλλά δεν αναγνωρίζει τίποτε στον χάρτη.",en,nothing,,
τίτλος,"Ο τίτλος του είναι ""η μεγάλη...",en,title,,
το,...στην δουλειά του με το αυτοκίνητό του.,en,The,,
τον,Βρήκα τον άλλο μου εαυτό,en,"the (masculine, object/accusative)",,
τοπικά,...από τα πιο βασικά τοπικά επιρρήματα.,en,"locally, place",,
τοπική,"...να αποκοπεί από την τοπική αυτοδιοίκηση,",en,local,,
τοπικό,...έχει τον δικό της τοπικό παραδοσιακό χορό,en,local,,
τόσο,"Τόσος, τόση, τόσο",en,"so much, both",,
τότε,,en,then,,
του,Πηγαίνει στην δουλειά του με το αυτοκίνητό του.,en,"of, his, its",,
τουλάχιστον,Α: Έχω ξανάρθει τουλάχιστον 5 φορές.,en,At least,,
τουρίστες,Πολλοί τουρίστες επιλέγουν την Ελλάδα,en,tourists,,
τουριστική,"...πολύ όμορφη πόλη , πολύ τουριστική, που απέναντι υπάρχουν νησάκια.",en,tourist,,
τουριστικό,"...Αμμουλιανή , που είναι πολύ τουριστικό νησί και πηγαίνει πολύς...",en,tourist,,
τραγουδίστρια,"Λοιπόν, εδώ έχω μια τραγουδίστρια . Αυτή είναι μία πολύ...",en,singer,,
τραπεζάκι,Στα ελληνικά το λέμε ''τραπεζάκι σαλονιού'',en,small table,,
τραπέζι,...μπορεί να βρίσκεται στο τραπέζι,en,table,,
τραπεζιού,...βρίσκεται στη μέση του τραπεζιού.,en,table,,
τρένου,...από το σταθμό του τρένου;,en,train,,
τριακόσια,Τριακόσια τριάντα (330) ml νερό· το...,en,three hundred,,
τρομερό,αλλά κάνει τρομερό κρύο!,en,"awesome, frightening, great, terrible, mighty",,
τρόπο,...δουλειά μου με τον τρόπο που θέλω.,en,"manner, way",,
τρόπος,Αυτός είναι ο καλύτερος τρόπος για να μάθετε μια...,en,"way, form, manner, mean, wise, mien, mode, modus, style",,
τσάντα,Θα έχει μια ολόκληρη τσάντα με ζυμαρικά νούντλς.,en,bag,,
τσίπουρο,"Αυτό είναι τσίπουρο , επίσης σπιτικό",en,moonshine,,
υγεία,Είναι καλά στην υγεία τους;,en,health,,
υγιής,...με βοηθάει να είμαι υγιής.,en,healthy,,
υγρασία,"υπάρχει πάρα πολλή υγρασία, δεν υπάρχει πάρα πολύ...",en,"humidity, moisture",,
υλικό,...πρόσβαση σε αυτό το υλικό.,en,"material, ingredient",,
υπέροχα,...σίγουρη πως μένετε σε υπέροχα μέρη.,en,"beautifully, wonderful",,
υπέροχο,"Α: Α, υπέροχο, ευχαριστώ.",en,"great, wonderful, beautiful",,
υπογραφή,...ζητήσουν να βάλεις την υπογραφή σου.,en,signature,,
υποθέτω,"Α: Λοιπόν, υποθέτω ότι θα πρέπει να...",en,"I suppose, assume",,
υποκατηγορίες,...να τα χωρίσω σε υποκατηγορίες.,en,subcategories,,
υπότιτλους,...ενεργοποιήσετε ελληνικούς ή αγγλικούς υπότιτλους.,en,subtitles,,
φαίνεται,Φαίνεται ωραίο με το μπλε...,en,appear,,
φακές,"...κουτί από καφέ, έχω φακές.",en,lentils,,
φάνηκαν,Ελπίζω να σας φάνηκαν ενδιαφέρον οι γλωσσοδέτες,en,appeared,,
φάνηκε,...φωτιά είναι αυτή που φάνηκε στο βουνό!,en,appeared,,
φανταζόμουν,Φανταζόμουν πως μια μέρα θα...,en,imagined,,
φανταστικός,...ο Ντι Κάπριο είναι φανταστικός ηθοποιός.,en,fantastic,,
φαρμακοποιός,Φαρμακοποιός και τακτοποιώ,en,pharmacist,,
φέρεις,Θέλω να μου φέρεις εκείνο το μολύβι,en,you bring,,
φέρνει,...τα δώρα μας τα φέρνει ο Άγιος Βασίλης.,en,brings,,
φέρω,Θα σας φέρω επίσης λίγο ψωμί.,en,bring,,
φεύγει,...τα παπούτσια κάτω και φεύγει.,en,leaves,,
φεύγουμε,"όταν φεύγουμε,",en,we leave,,
φιλάκια,Φιλάκια πολλά!,en,Kisses,,
φίλε,"Α: Πο, ρε φίλε, θα μπλέξουμε.",en,pal,,
φοβάμαι,Αλλά φοβάμαι το νερό.,en,"I fear, I'm afraid, fearful",,
φοβάται,Αλλά φοβάται το νερό.,en,"she / he / it fears, is afraid of",,
φοβερό,"Καλά, ε; Φοβερό, κοιτάξτε!",en,amazing/terrible,,
φοβήθηκε,"...Αράχνη, μα εκείνη δεν φοβήθηκε καθόλου.",en,feared,,
φοβόμουν,Φοβόμουν πολύ να κάνω λάθη.,en,I feared,,
φοιτήτρια,Η Κλαίρη είναι φοιτήτρια πανεπιστημίου.,en,university student,,
φορά,...ξεκινήσεις αντίθετα με τη φορά των τριχών και μετά...,en,direction,,
φοράνε,Τι φοράνε δηλαδή οι στρατιώτες στην...,en,wear,,
φορές,Να το ακούσετε πολλές φορές στην συσκευή σας.,en,times,,
φορέσεις,...οπότε μπορείς να το φορέσεις και από αυτή την...,en,wear,,
φούρνο,Πηγαίνω στον φούρνο.,en,bakery,,
φράσεις,...να δημιουργήσετε LingQs για φράσεις.,en,phrases,,
φρειδερίκος,Η Ιωάννα και ο Φρειδερίκος είναι κουρασμένοι την νύχτα.,en,Frederick,,
φρέσκο,για να φάνε φρέσκο ψάρι.,en,fresh,,
φροντίζεις,"...πολύ εύκολο να τους φροντίζεις και να τους προσέχεις,",en,you care,,
φτάνω,φτάνω θα φτάσω,en,"I arrive, reach, come, get to",,
φτάσατε,Και φτάσατε,en,You arrived,,
φτάσω,φτάνω θα φτάσω,en,reach,,
φτιάχνει,Φτιάχνει πρωινό και πίνει καφέ.,en,makes,,
φύλλο,...τώρα ότι αυτό το φύλλο είναι λίγο μαζεμένο.,en,"leaf, sheet, page",,
φυσικά,Γ: Φυσικά.,en,"naturally, of course",,
φυσικό,...να μιλήσετε με έναν φυσικό ομιλητή.,en,"natural, physical",,
φυσιολογική,Το άγχος είναι μία φυσιολογική αντίδραση στην αβεβαιότητα.,en,"normal, physiological",,
φυτά,"...το σαλόνι δεν έχω φυτά, δυστυχώς παιδιά, δεν μπορώ...",en,"plants, shrubs",,
φυτών,...ένα πλήθος ζώων και φυτών.,en,Plants,,
φωνή,...με μια απογοήτευση στη φωνή τους.,en,voice,,
φωτιά,Τι λαμπρή φωτιά είναι αυτή που φάνηκε...,en,fire,,
φωτισμό,...δεν έχει πολύ καλό φωτισμό.,en,lighting,,
φωτογραφίες,Βλέπει φωτογραφίες διαμερισμάτων στο διαδίκτυο.,en,photos,,
χαίρομαι,Χαίρομαι που δεν έχω μία...,en,I'm glad,,
χαλί,Θα αγοράσω ένα χαλί για το σπίτι,en,carpet,,
χαρά,"Α: Μια χαρά, ευχαριστώ.",en,joy,,
χαρακτηρίζετε,"...καινούρια επίθετα για να χαρακτηρίζετε θετικά τον εαυτό σας,",en,You characterize,,
χαριτωμένο,Γ: Το κορίτσι είναι χαριτωμένο;,en,"cute, pretty",,
χαρούμενη,Είσαι χαρούμενη που μετακόμισες εδώ;,en,joyful,,
χαρούμενος,Α: Εγώ είμαι πολύ χαρούμενος με τη δουλειά μου.,en,"cheerful, happy",,
χάρτη,...για να κοιτάξει τον χάρτη του.,en,map,,
χειμώνα,...μερικές ημέρες άδεια τον χειμώνα.,en,winter,,
χειρότερο,Ήταν το χειρότερο τριήμερο της ζωής μου!,en,"worse, worst",,
χημικά,με το να βάζουμε χημικά πάνω στο πρόσωπό μας.,en,chemically,en,chemicals
χθες,Φαίνεται σαν να ήταν χθες.,en,yesterday,,
χιλιάδες,έβρισκα χιλιάδες δικαιολογίες και μικρά ψεματάκια,en,thousands,,
χοιρινά,...πήρα και λίγα σουβλάκια χοιρινά.,en,pork,,
χοιρινό,Χοιρινό ; -Ναι,en,pork 🐖,,
χόμπι,Τα ταξίδια είναι το χόμπι μου.,en,hobby,,
χορό,...δικό της τοπικό παραδοσιακό χορό,en,dance,,
χρειαστεί,"...στη δουλειά σου, ίσως χρειαστεί να κάνεις μία αλλαγή.",en,need,,
χρειάστηκα,χρειάστηκα το λεξικό,en,I needed it,,
χρήματα,"...να μελετήσει, να εξοικονομήσει χρήματα, ή να μείνει στο...",en,money,,
χρήσιμα,"...μαθήματά μου σας φαίνονται χρήσιμα,",en,useful,,
χρήσιμες,είναι πολύ χρήσιμες.,en,helpful,en,"helpful, useful"
χρήσιμο,"χρήσιμο, καινούριο λεξιλόγιο.",en,useful,,
χρησιμοποιεί,Η Γιάννα χρησιμοποιεί πολύ τον υπολογιστή.,en,uses,,
χρησιμοποιώντας,χρησιμοποιώντας κάποιες απρόσωπες εκφράσεις:,en,using,,
χριστούγεννα,Είχαμε πάει διακοπές τα Χριστούγεννα και ήρθαμε πίσω παραμονή...,en,Christmas,,
χρόνο,Έχει ο Δημήτρης ελεύθερο χρόνο τον χειμώνα?,en,time,,
χρονόμετρο,το χρονόμετρο,en,The timer,,
χρωματιστά,"χρωματιστά στιλό, χαρτάκια αλληλογραφίας,",en,colors,,
χτυπάνε,...αυτό ίσως ακούτε να χτυπάνε οι καμπάνες.,en,"beat, strike, knock",,
χώρα,...οι πελάτες από μια χώρα?,en,country,,
χώρες,...πελάτες είναι από πολλές χώρες.,en,countries,,
χωριά,"...και άλλα πολύ όμορφα χωριά στη Σιθωνία,",en,villages,,
χωριάτικη,...είναι μια πλούσια πλούσια χωριάτικη σαλάτα,en,Greek salad,,
ψάχνει,Ψάχνει στην ντουλάπα της.,en,"is looking for, searching",,
ψάχνοντας,Ψάχνοντας λοιπόν στο διαδίκτυο για...,en,"""Searching""",,
ψάχνω,Ψάχνω για μια καινούρια δουλειά...,en,"I look for, search",,
ψηλώνει,...πιο πράσινα και να ψηλώνει και να γίνεται πιο...,en,grows taller,,
ψυχή,"είναι η λέξη ""ψυχή"".",en,"soul,psyche,spirit",,
ώρας,"...λεπτά'', όπως αυτά της ώρας,",en,"hour, time",,
ως,Μπορείτε να επιλέξετε δασκάλους ως φίλους.,en,as,,
ώστε,Έπρεπε να αγοράσει εισιτήρια ώστε να μπορέσει να πάει...,en,"so that, such that, so",,